transformed_date,namespace_value,total_fees,mb_posted
2024-02-01,AAAAAAAAAAAAAAAAAAAAAAAAAAAABYTLU4hLOUU=,0.17407100000000003,8.774487
2024-02-01,AAAAAAAAAAAAAAAAAAAAAAAAAAAAC07kntyDQ8A=,0.054169000000000016,1.883072
2024-02-04,AAAAAAAAAAAAAAAAAAAAAAAAAAAACAgICAgICAg=,0.28668300000000008,5.321831
2024-01-04,AAAAAAAAAAAAAAAAAAAAAAAAAIZiad33fbxA7Z0=,2.9486549999999996,12.55144
2023-12-15,AAAAAAAAAAAAAAAAAAAAAAAAAD7oXf20+S/sEj0=,0.12093199999999994,0.56009
2024-01-31,AAAAAAAAAAAAAAAAAAAAAAAAAAAACLkdk+ILapw=,0.06668700000000001,2.517196
2024-01-09,AAAAAAAAAAAAAAAAAAAAAAAAAAAACAgICAgICAg=,0.34008299999999986,17.465483
2023-12-17,AAAAAAAAAAAAAAAAAAAAAAAAAIZiad33fbxA7Z0=,0.113417,5.470336
2024-01-15,AAAAAAAAAAAAAAAAAAAAAAAAAEJpDCBNOWAP3dM=,0.00304,4.2e-05
2024-01-02,AAAAAAAAAAAAAAAAAAAAAAAAAGFzdHJvZ2x5cGg=,0.38010699999999992,22.166936
2023-12-23,AAAAAAAAAAAAAAAAAAAAAAAAAGFzdHJvZ2x5cGg=,0.33318299999999995,18.930377
2024-01-10,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAJBA=,0.068594000000000044,1.819069
2024-01-18,AAAAAAAAAAAAAAAAAAAAAAAAAAAADBuw7+PjGs8=,0.048898999999999984,2.576784
2024-01-24,AAAAAAAAAAAAAAAAAAAAAAAAAAAADBuw7+PjGs8=,0.034801999999999993,1.855185
,AAAAAAAAAAAAAAAAAAAAAAAAAEJpDCBNOWAP3dM=,0.05586,0.000105
2023-12-11,AAAAAAAAAAAAAAAAAAAAAAAAAGFzdHJvZ2xpZGU=,0.0016699999999999998,0.05231
2023-12-17,AAAAAAAAAAAAAAAAAAAAAAAAAEJpDCBNOWAP3dM=,0.0091000000000000039,0.000209
2024-01-29,AAAAAAAAAAAAAAAAAAAAAAAAAAAACLkdk+ILapw=,0.069307000000000035,2.647788
2023-12-03,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAIAIE1A=,0.0024000000000000002,0.000495
2023-12-29,AAAAAAAAAAAAAAAAAAAAAAAAAAAACAgICAgICAg=,0.20562599999999989,10.675205
2024-01-18,AAAAAAAAAAAAAAAAAAAAAAAAAAAADNtEcdl1sYY=,0.063206999999999985,2.278823
2024-01-18,AAAAAAAAAAAAAAAAAAAAAAAAAAAAC07kntyDQ8A=,0.052072999999999987,1.83347
2024-01-06,AAAAAAAAAAAAAAAAAAAAAAAAAIZiad33fbxA7Z0=,7.2517160000000027,30.81102
2024-01-11,AAAAAAAAAAAAAAAAAAAAAAAAAIZiad33fbxA7Z0=,3.9896710000000009,17.186471
2024-01-15,AAAAAAAAAAAAAAAAAAAAAAAAAAAACOX2eb9xFss=,0.57805299999999959,0.024713
2024-01-16,AAAAAAAAAAAAAAAAAAAAAAAAAAAABYTLU4hLOUU=,0.015921,0.606134
2023-12-16,AAAAAAAAAAAAAAAAAAAAAAAAAIZiad33fbxA7Z0=,0.10125400000000001,4.65264
2024-01-30,AAAAAAAAAAAAAAAAAAAAAAAAAAAADBuw7+PjGs8=,0.031156000000000003,1.642091
2023-11-14,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAcm9sbGs=,0.03356,0.002834
,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAABvam90aWE=,0.03192,0.000276
2024-01-27,AAAAAAAAAAAAAAAAAAAAAAAAAAAADBuw7+PjGs8=,0.037727000000000004,2.0012
2024-02-05,AAAAAAAAAAAAAAAAAAAAAAAAAAAADE4vVvVyRsg=,0.056303000000000013,1.879139
2024-02-03,AAAAAAAAAAAAAAAAAAAAAAAAAAAAC07kntyDQ8A=,0.056773999999999991,1.906632
2024-01-01,AAAAAAAAAAAAAAAAAAAAAAAAAAAACAgICAgICAg=,0.197217,10.280027
2024-01-12,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAJBA=,0.35300000000000026,3.661291
2024-02-05,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAJBA=,0.94901700000000011,1.712216
2023-12-22,AAAAAAAAAAAAAAAAAAAAAAAAAAAACAgICAgICAg=,0.17418300000000003,8.923058
2024-01-11,AAAAAAAAAAAAAAAAAAAAAAAAAEJpDCBNOWAP3dM=,0.00192,2.4e-05
2023-12-13,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAABhc3Rybyo=,0.22586999999999993,13.163002
2023-12-19,AAAAAAAAAAAAAAAAAAAAAAAAAEJpDCBNOWAP3dM=,0.00016,1e-06
2024-02-08,AAAAAAAAAAAAAAAAAAAAAAAAAAAADBuw7+PjGs8=,0.25218300000000005,13.721992
2023-12-30,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAJBA=,0.042754999999999981,1.862062
2024-01-19,AAAAAAAAAAAAAAAAAAAAAAAAAAAABqVjuNvNnoE=,0.055988000000000038,1.859046
2024-01-17,AAAAAAAAAAAAAAAAAAAAAAAAAAB0Y2VsZXN0aWE=,0.056131999999999994,2.101703
2024-01-20,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAJBA=,0.21300000000000013,1.850157
2023-12-29,AAAAAAAAAAAAAAAAAAAAAAAAAIZiad33fbxA7Z0=,4.95627,21.371097
2024-01-05,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAJBA=,0.43935700000000016,21.066751
2024-01-28,AAAAAAAAAAAAAAAAAAAAAAAAAAAAC07kntyDQ8A=,0.05388399999999996,1.848906
2023-12-13,AAAAAAAAAAAAAAAAAAAAAAAAAD7oXf20+S/sEj0=,0.080609000000000028,0.39163
2024-01-31,AAAAAAAAAAAAAAAAAAAAAAAAAAAABYTLU4hLOUU=,0.15839999999999999,7.869933
2024-01-25,AAAAAAAAAAAAAAAAAAAAAAAAAAAADE4vVvVyRsg=,0.056044,1.864395
